"","PC1","PC2","Name","Treatment"
"CHOW_BAS_1",7.31971659118193,-10.0752340414296,"CHOW_BAS_1","CHOW"
"CHOW_BAS_2",-3.83613593840776,-3.4343184611898,"CHOW_BAS_2","CHOW"
"CHOW_BAS_3",-6.52492323576951,-4.68264633991881,"CHOW_BAS_3","CHOW"
"CHOW_BAS_4",-13.1228776011937,-4.17133799786949,"CHOW_BAS_4","CHOW"
"CHOW_BAS_5",3.67317995527172,-10.7044844385659,"CHOW_BAS_5","CHOW"
"CHOW_BAS_6",-2.52777069749738,-4.9913920463677,"CHOW_BAS_6","CHOW"
"CHOW_BAS_7",-7.08402650942159,2.16946125236538,"CHOW_BAS_7","CHOW"
"CHOW_BAS_8",2.06325387221581,-3.60947620500034,"CHOW_BAS_8","CHOW"
"CHOW_BAS_9",-2.45402899766532,0.105518281039497,"CHOW_BAS_9","CHOW"
"CHOW_BAS_10",-8.03642626348313,3.32579244619312,"CHOW_BAS_10","CHOW"
"CHOW_BAS_11",3.58007987238773,-8.46384798606103,"CHOW_BAS_11","CHOW"
"CHOW_BAS_12",-9.09806796152529,-1.5079459285046,"CHOW_BAS_12","CHOW"
"CHOW_INS_1",8.92908075073273,-12.8814216570342,"CHOW_INS_1","CHOW"
"CHOW_INS_2",-2.19766519812465,-2.68905631323816,"CHOW_INS_2","CHOW"
"CHOW_INS_3",-6.9707465923078,-1.31087204794163,"CHOW_INS_3","CHOW"
"CHOW_INS_4",-10.5035978012293,-0.799653266085006,"CHOW_INS_4","CHOW"
"CHOW_INS_5",1.19287868171682,-0.0917026459931272,"CHOW_INS_5","CHOW"
"CHOW_INS_6",2.52800549309816,-4.12974860438986,"CHOW_INS_6","CHOW"
"CHOW_INS_7",-6.15756841440639,-5.67606568594805,"CHOW_INS_7","CHOW"
"CHOW_INS_8",4.93742170881122,-3.29023234482586,"CHOW_INS_8","CHOW"
"CHOW_INS_9",-1.42123591400789,0.0301979686126732,"CHOW_INS_9","CHOW"
"CHOW_INS_10",-7.84602628211534,0.832423921510015,"CHOW_INS_10","CHOW"
"CHOW_INS_11",1.02911723681759,-6.26766471982438,"CHOW_INS_11","CHOW"
"CHOW_INS_12",-0.788151773719325,-1.18676466281333,"CHOW_INS_12","CHOW"
"HFD_BAS_1",12.1965604977528,-9.20389894646948,"HFD_BAS_1","HFD"
"HFD_BAS_2",0.00495615020171958,-5.80494050724257,"HFD_BAS_2","HFD"
"HFD_BAS_3",-5.9681877839716,-1.66830768393576,"HFD_BAS_3","HFD"
"HFD_BAS_4",-8.32505140814468,-2.31893355519264,"HFD_BAS_4","HFD"
"HFD_BAS_5",6.2162895214185,-8.66555033395819,"HFD_BAS_5","HFD"
"HFD_BAS_6",-3.27108538258312,0.725308040427426,"HFD_BAS_6","HFD"
"HFD_BAS_7",-7.51802635883121,0.34995360182373,"HFD_BAS_7","HFD"
"HFD_BAS_8",9.12705946463578,8.88537324888619,"HFD_BAS_8","HFD"
"HFD_BAS_9",6.75341143784472,11.4707476230369,"HFD_BAS_9","HFD"
"HFD_BAS_10",-0.466373112277259,5.1631356746693,"HFD_BAS_10","HFD"
"HFD_BAS_11",3.25352613382001,-0.0193105688788253,"HFD_BAS_11","HFD"
"HFD_BAS_12",-2.65824378361589,6.65060255862855,"HFD_BAS_12","HFD"
"HFD_INS_1",7.82204535023613,-2.22982431494644,"HFD_INS_1","HFD"
"HFD_INS_2",7.33224554393957,2.67998388314796,"HFD_INS_2","HFD"
"HFD_INS_3",-9.39207380407309,-1.79825330601564,"HFD_INS_3","HFD"
"HFD_INS_4",-10.7843187244397,-1.828160652808,"HFD_INS_4","HFD"
"HFD_INS_5",6.45671675508209,0.446699184219939,"HFD_INS_5","HFD"
"HFD_INS_6",-3.76520222158447,-0.0327741945691373,"HFD_INS_6","HFD"
"HFD_INS_7",0.806558160121076,17.2812495631297,"HFD_INS_7","HFD"
"HFD_INS_8",11.0495592413479,14.3348838972186,"HFD_INS_8","HFD"
"HFD_INS_9",3.98845200290803,11.8091297792619,"HFD_INS_9","HFD"
"HFD_INS_10",1.75507025781587,13.0961992581913,"HFD_INS_10","HFD"
"HFD_INS_11",13.2222283461364,6.05012165461166,"HFD_INS_11","HFD"
"HFD_INS_12",-2.23536789231208,-1.90578129715244,"HFD_INS_12","HFD"
"REV_BAS_1",5.18225554571241,-6.53065388633895,"REV_BAS_1","REV"
"REV_BAS_2",6.23279060063732,-7.9431905449805,"REV_BAS_2","REV"
"REV_BAS_3",-3.04076423854265,0.398205659418295,"REV_BAS_3","REV"
"REV_BAS_4",-8.91142332406634,1.20586199774253,"REV_BAS_4","REV"
"REV_BAS_5",13.1261823745694,-2.2091953163241,"REV_BAS_5","REV"
"REV_BAS_6",-2.09143190242091,0.974162872111655,"REV_BAS_6","REV"
"REV_BAS_7",-5.30898378247872,11.0762899607469,"REV_BAS_7","REV"
"REV_BAS_8",10.589882574883,9.7315770516603,"REV_BAS_8","REV"
"REV_BAS_9",4.4846985435441,5.31476420692854,"REV_BAS_9","REV"
"REV_BAS_10",-5.39620538747023,5.28600533783512,"REV_BAS_10","REV"
"REV_BAS_11",7.23353477839322,-0.524955178653356,"REV_BAS_11","REV"
"REV_BAS_12",-1.94124912794339,5.03043679079171,"REV_BAS_12","REV"
"REV_INS_1",8.09908253330512,-3.76378017321049,"REV_INS_1","REV"
"REV_INS_2",-1.00370855542449,-5.75661450658586,"REV_INS_2","REV"
"REV_INS_3",-8.70994848820226,-1.73251059900127,"REV_INS_3","REV"
"REV_INS_4",-10.1733769543311,-0.504617200073645,"REV_INS_4","REV"
"REV_INS_5",2.83036132858323,8.92589280099098,"REV_INS_5","REV"
"REV_INS_6",11.8256490848859,-8.5475047508325,"REV_INS_6","REV"
"REV_INS_7",-1.51544600442973,7.42568551278691,"REV_INS_7","REV"
"REV_INS_8",14.0195262067386,-0.537252913996152,"REV_INS_8","REV"
"REV_INS_9",-2.06147884164748,2.56869263701723,"REV_INS_9","REV"
"REV_INS_10",-5.72227130876678,0.231015931388594,"REV_INS_10","REV"
"REV_INS_11",-1.78572683761679,0.649381057304836,"REV_INS_11","REV"
"REV_INS_12",-8.24618219069826,-0.734877829530411,"REV_INS_12","REV"
